date,count_American,count_Carmel,count_Diplo,count_Federal,count_Firstclass,count_Highclass,count_Prestige,count_Skyline,count_Uber,Total,maxtempC,avgtempC,uvIndex,precipMM,cloudcover,humidity,weatherDesc,Weekday
2014-08-11,877,2924,964,1,1756,1486,3167,1597,22632,35404,27.0,25.0,6.0,0.7,19.0,72.0,Patchy rain possible,Monday
2014-08-12,840,2677,905,1,1703,1455,3112,1900,29646,42239,24.0,23.0,5.0,4.6,50.0,83.0,Light rain shower,Tuesday
2014-08-13,900,2927,1035,3,1908,1604,3463,1862,29788,43490,27.0,24.0,5.0,28.6,54.0,85.0,Moderate or heavy rain shower,Wednesday
2014-08-14,886,3160,906,5,1801,1459,3153,1787,30457,43614,24.0,21.0,5.0,0.7,16.0,70.0,Patchy rain possible,Thursday
2014-08-15,1125,3028,1041,1,2006,1631,3627,1372,28974,42805,22.0,20.0,4.0,0.2,26.0,68.0,Cloudy,Friday
2014-08-16,1293,2213,1323,6,2031,1821,4332,356,26234,39609,25.0,22.0,6.0,0.0,17.0,67.0,Partly cloudy,Saturday
2014-08-17,1112,2514,1248,1,1762,1857,3913,531,21209,34147,26.0,23.0,5.0,3.2,40.0,72.0,Light rain shower,Sunday
2014-08-18,884,2878,1000,0,1742,1382,3106,1453,21956,34401,28.0,24.0,6.0,0.0,1.0,70.0,Sunny,Monday
2014-08-19,831,2567,824,1,1750,1360,2929,1628,24834,36724,26.0,23.0,6.0,0.0,19.0,74.0,Partly cloudy,Tuesday
2014-08-20,837,2882,847,1,1680,1363,3160,1867,27955,40592,26.0,23.0,5.0,0.3,47.0,74.0,Patchy light drizzle,Wednesday
2014-08-21,874,3119,939,3,1803,1465,3211,1846,32304,45564,26.0,23.0,6.0,0.7,30.0,70.0,Partly cloudy,Thursday
2014-08-22,1083,2973,1093,4,1952,1601,3749,1332,29512,43299,23.0,21.0,5.0,5.3,67.0,86.0,Light rain shower,Friday
2014-08-23,1184,2143,1291,3,1760,1844,3963,506,27097,39791,23.0,21.0,5.0,0.5,57.0,79.0,Cloudy,Saturday
2014-08-24,1039,2315,1150,3,1495,1815,3851,473,22036,34177,25.0,22.0,6.0,0.3,20.0,75.0,Partly cloudy,Sunday
2014-08-25,795,2745,891,6,1762,1642,3096,1341,22093,34371,30.0,26.0,7.0,0.0,3.0,71.0,Sunny,Monday
2014-08-26,785,2487,845,3,1603,1330,2781,1534,24550,35918,29.0,26.0,7.0,0.0,4.0,74.0,Sunny,Tuesday
2014-08-27,823,2789,860,2,1720,1459,2988,1748,27018,39407,30.0,27.0,7.0,1.0,8.0,77.0,Sunny,Wednesday
2014-08-28,895,3105,963,6,1732,1450,3056,1698,28597,41502,26.0,23.0,6.0,0.9,6.0,71.0,Sunny,Thursday
2014-08-29,1176,3001,1157,4,1900,1785,3765,1203,27424,41415,28.0,23.0,6.0,0.0,6.0,69.0,Partly cloudy,Friday
2014-08-30,1265,2081,1282,5,1686,2034,4308,420,23930,37011,25.0,22.0,6.0,0.0,28.0,77.0,Partly cloudy,Saturday
2014-08-31,1192,1944,1314,1,1716,2065,4140,437,23271,36080,28.0,26.0,6.0,29.0,51.0,86.0,Torrential rain shower,Sunday
2014-09-01,830,2387,848,6,1211,1520,3033,437,19961,30233,29.0,26.0,6.0,14.8,24.0,85.0,Moderate or heavy rain shower,Monday
2014-09-02,955,2967,991,4,1703,1565,3387,1746,28831,42149,30.0,28.0,6.0,14.6,17.0,81.0,Patchy rain possible,Tuesday
2014-09-03,944,2794,1006,3,1852,1513,3269,1978,32631,45990,31.0,26.0,7.0,4.8,11.0,72.0,Partly cloudy,Wednesday
2014-09-04,970,2914,912,2,1846,1652,3303,2121,38360,52080,28.0,26.0,7.0,0.0,11.0,67.0,Partly cloudy,Thursday
2014-09-05,1104,2871,1194,4,1914,1872,3874,1680,42319,56832,28.0,26.0,6.0,2.6,27.0,87.0,Patchy rain possible,Friday
2014-09-06,1317,2152,1249,3,1798,2176,4192,585,40520,53992,30.0,27.0,6.0,19.2,33.0,87.0,Patchy light rain with thunder,Saturday
